"","descripteur1","descripteur2","descripteur4","descripteur5","descripteur6","descripteur7","descripteur9","descripteur11","descripteur12","descripteur14","descripteur15","descripteur16","descripteur17","descripteur18","descripteur20","descripteur21","descripteur23","descripteur25","descripteur26","descripteur27","descripteur28","descripteur29","descripteur32","descripteur33","descripteur34","descripteur35","descripteur36","descripteur37","descripteur38","descripteur39","descripteur40","descripteur41","descripteur42","descripteur43","descripteur47","descripteur48","descripteur51","descripteur53","descripteur55","descripteur56","descripteur57","descripteur58","descripteur60","descripteur62","descripteur63","descripteur67","descripteur68","descripteur71","descripteur72","descripteur74"
"molecule126","-283.254121","458.083133","-9.18200446","-0.18823869","-0.02628297","0.16195572","-0.05584372","1423.802","3126.082","6","0.929503","0.857803","91.23555","13.136211","102","23.270002","10.008383","11.344642","7.246425","8.917351999999999","6.444036","4.206289","325.211884","4590.984","2251.59","82.55439","7.293989","356.9554784","0.97902403","11128.26","5.22293158","2172.332","94.57827748","51.51257039","0.68458568","18.10276664","2.46823823","383.38868834","385.408301","-966.507022","4603.96","88.995212","0.133959","348.700491","2416.529","-51.195484","0.068383","0.76761","224.274722","0.662413"
"molecule127","-14.60328","195.322211","-3.38266182","-0.24459214","-0.08521815000000001","0.15937399","-0.03144405","708.32523007","1401.998","3","1.0709","1.0866","44.876514","2.459012","56","8.753807999999999","2.069734","5.665832","3.604681","4.966241","4.219827","2.85643","160","987.7238160000001","391.35199","35.059139","-0.461296","152.11133483","1.19129188","1261.063","2.73967586","183.31987243","46.74915702","33.09537853","0.688125","9.840627509999999","1.56375821","160.17649695","-11.134361","-260.992963","506.151709","25.284204","0.07088","61.6388","87.453129","-13.836656","0.159853","7.48075","144.542782","0.594801"
"molecule128","-48.154975","135.718389","-1.86503545","-0.25762264","-0.05503064","0.202592","-0.03385355","505.31695388","905.46679469","3","-0.984","-0.49","24.8736","1.782407","28","6.44","5.44","3.06066","1","3.66793","3.368383","0.9802149999999999","64","171.117706","108.939972","24.655022","-0.381944","96.79711036","1.2308012","481.28301732","2.04619092","146.6544512","31.97269518","24.06378707","0.6","7.95107523","1.31844949","102.19245689","-19.421125","-137.749336","257.298828","19.719187","0.071712","35.136251","32.873477","-8.956286","0.2469","11.388544","154.68686","0.437457"
"molecule132","-121.312755","232.150307","-4.13916744","-0.24312638","-0.09485831","0.14826808","-0.03550408","829.85330694","1638.709","4","0.7651","1.063101","50.666317","3.375324","66","10.878125","2.915703","6.559679","4.281828","5.559131","4.637846","3.244005","199.421249","1431.253","569.6936040000001","40.290493","-0.617546","180.84225966","1.18465118","2384.383","3.55158065","344.01424345","61.33166692","27.85721913","0.60848806","12.95314998","2.28435809","190.53906025","58.738148","-388.883305","908.300397","33.561147","0.08211300000000001","95.53013","212.296607","-18.333605","0.304324","2.501279","113.643706","0.721953"
"molecule141","-53.008835","177.220441","-3.44525243","-0.19749863","-0.08216221","0.11533642","-0.01922961","639.79649023","1205.348","2","-0.005399","-0.035","38.056614","2.450354","44","7.279051","1.82874","4.842535","3.098518","3.33446","2.141783","1.497378","110.039101","632.536377","257.278198","32.533432","2.703241","137.05469041","1.03002675","1016.851","2.7170885","182.67729681","48.05344468","24.5992689","0.605","9.86491676","1.79310563","143.17424421","145.858936","-179.540712","641.001571","31.595045","0.09526","79.191334","153.053092","-12.220152","0.246029","6.32348","87.592355","0.7359059999999999"
"molecule151","-28.136338","223.299111","-3.97668242","-0.18970065","-0.11549883","0.07420182","-0.11472483","788.02458007","1562.079","3","1.9815","-0.454299","47.21661","3.385943","60","10.14292","4.592413","6.078299","3.263894","5.531984","4.252277","2.376631","172.97374","1190.005","514.4885860000001","43.230465","0.622736","173.29486835","1.16125769","2590.738","3.10605579","504.90384047","58.20742222","26.33292791","0.59472656","12.71434831","2.04775629","183.0107505","56.398257","-285.181183","667.733956","27.015307","0.069851","85.696217","147.954519","-12.49089","0.121518","0.141986","131.138424","0.660927"
"molecule155","-52.687802","96.044301","-1.58000864","-0.20597988","-0.0539473","0.15203258","-0.01207319","364.81333058","579.64216118","1","0.3793","-0.103999","16.194799","0.958358","12","3.67","0","1.732051","0","1.204124","0.9082480000000001","0","15.509775","23.264662","24.98045","12.954618","0","65.07381796","0.89252484","128.1859177","1.73954957","37.45098876","22.78359553","16.65253183","0.73278237","6.43957516","1.52955068","67.840295","94.579421","-68.39098300000001","240.623718","21.315601","0.097243","34.389841","37.753167","-5.749007","0.298962","19.037849","67.140094","0.693702"
"molecule158","19.858371","120.182422","-1.82669397","-0.17882268","-0.03135107","0.14747161","-0.02416164","472.21768803","819.09544708","1","0.4121","0.08740000000000001","28.957899","0.919296","26","3.865747","0.818376","2.893847","1.643847","2.319479","1.590926","0.984789","53.302967","172.926315","66.285004","20.754887","1.969907","88.56718988999999","1.15341811","392.91195609","1.90576474","110.81131533","30.88939059","19.50458804","0.71744472","7.32138664","1.73530621","91.41790603","72.45861600000001","-141.857577","393.499323","31.350312","0.120698","43.14314","65.361857","-7.629282","0.309703","1.780816","147.095995","0.433684"
"molecule164","38.192409","245.963455","-5.16367573","-0.18044955","-0.04821041","0.13223914","-0.02082075","903.41230092","1778.059","2","4.065401","2.8357","64.50691999999999","3.306951","76","10.389906","3.202089","7.843338","4.920894","4.992187","3.261984","2.021125","226.477325","2266.489","830.141296","41.480671","0","199.63374674","1.06320699","3032.003","3.75450695","471.09450063","70.14695887000001","28.57687179","0.69230769","13.41273085","2.59340807","205.87287382","120.710752","-412.02096","1132.711","41.414447","0.09349300000000001","124.845414","319.242208","-15.670864","0.214383","7.059553","81.95511999999999","0.814986"
"molecule167","1.125962","110.938909","-1.70557104","-0.23848203","-0.04788229","0.19059974","-0.02475352","437.4021243","725.51064056","3","0.2005","-0.4597","20.024199","2.016186","20","5.119999","4.591698","2.770056","0.866025","1.40432","0.781585","0.246502","33.21928","104.378075","80.659187","18.464394","-0.180555","77.76539377","1.08117499","333.7209403","1.90235605","103.95257071","28.59301127","19.74786472","0.5990384600000001","7.83747511","1.52000684","79.92218086","4.547931","-175.899353","358.513203","27.898551","0.115096","29.928718","44.264574","-10.828598","0.2833","12.848194","193.31054","0.202496"
